target,mode,lambda,length,seed,guided,unguided,delta,abs_delta,scRMSD_min,designable
rg,baseline,32,300,47,0.0018,17.2912,-17.2895,17.2895,,
rg,baseline,32,400,47,0.9621,20.7289,-19.7669,19.7669,,
rg,baseline,4,300,42,17.2235,18.0772,-0.8537,0.8537,0.9993,1
rg,baseline,4,400,42,19.3878,20.9167,-1.5288,1.5288,,
rg,baseline,4,300,43,16.8122,17.6933,-0.8811,0.8811,,
rg,baseline,4,400,43,20.1194,23.214,-3.0946,3.0946,,
rg,baseline,4,300,44,16.3893,18.3988,-2.0096,2.0096,,
rg,baseline,4,400,44,18.3534,19.4547,-1.1013,1.1013,,
rg,baseline,4,300,45,15.8582,17.2945,-1.4363,1.4363,,
rg,baseline,4,400,45,18.1124,19.2236,-1.1112,1.1112,,
rg,baseline,4,300,46,16.8186,17.8954,-1.0767,1.0767,,
rg,baseline,4,400,46,18.4156,19.8464,-1.4308,1.4308,,
rg,baseline,4,300,47,16.4339,17.2912,-0.8574,0.8574,,
rg,baseline,4,400,47,19.3999,20.7289,-1.329,1.329,,
rg,baseline,8,300,42,16.1526,18.0772,-1.9246,1.9246,,
rg,baseline,8,400,42,18.1244,20.9167,-2.7923,2.7923,,
rg,baseline,8,300,43,15.8241,17.6933,-1.8692,1.8692,,
rg,baseline,8,400,43,17.9669,23.214,-5.2471,5.2471,,
rg,baseline,8,300,44,15.0862,18.3988,-3.3127,3.3127,,
rg,baseline,8,400,44,17.0501,19.4547,-2.4045,2.4045,,
rg,baseline,8,300,45,14.5952,17.2945,-2.6992,2.6992,,
rg,baseline,8,400,45,16.6834,19.2236,-2.5402,2.5402,,
rg,baseline,8,300,46,15.7333,17.8954,-2.1621,2.1621,,
rg,baseline,8,400,46,17.6465,19.8464,-2.1999,2.1999,,
rg,baseline,8,300,47,15.5241,17.2912,-1.7671,1.7671,,
rg,baseline,8,400,47,18.053,20.7289,-2.6759,2.6759,,
rg,prop,16,300,42,14.6084,18.0772,-3.4688,3.4688,,
rg,prop,16,400,42,16.3602,20.9167,-4.5564,4.5564,,
rg,prop,16,300,43,14.6441,17.6933,-3.0493,3.0493,,
rg,prop,16,400,43,16.2535,23.214,-6.9606,6.9606,,
rg,prop,16,300,44,13.7727,18.3988,-4.6262,4.6262,,
rg,prop,16,400,44,16.6893,19.4547,-2.7654,2.7654,,
rg,prop,16,300,45,13.965,17.2945,-3.3295,3.3295,,
rg,prop,16,400,45,15.5381,19.2236,-3.6854,3.6854,,
rg,prop,16,300,46,14.5557,17.8954,-3.3397,3.3397,,
rg,prop,16,400,46,16.7445,19.8464,-3.1019,3.1019,,
rg,prop,16,300,47,14.5141,17.2912,-2.7772,2.7772,,
rg,prop,16,400,47,17.206,20.7289,-3.5229,3.5229,,
rg,prop,32,300,42,14.3516,18.0772,-3.7256,3.7256,,
rg,prop,32,400,42,16.0612,20.9167,-4.8555,4.8555,,
rg,prop,32,300,43,14.3674,17.6933,-3.326,3.326,,
rg,prop,32,400,43,15.9847,23.214,-7.2293,7.2293,,
rg,prop,32,300,44,13.5934,18.3988,-4.8055,4.8055,,
rg,prop,32,400,44,16.4401,19.4547,-3.0146,3.0146,,
rg,prop,32,300,45,13.704,17.2945,-3.5904,3.5904,,
rg,prop,32,400,45,15.313,19.2236,-3.9106,3.9106,,
rg,prop,32,300,46,14.4065,17.8954,-3.4888,3.4888,,
rg,prop,32,400,46,15.9864,19.8464,-3.86,3.86,,
rg,prop,32,300,47,14.4138,17.2912,-2.8775,2.8775,,
rg,prop,32,400,47,17.2065,20.7289,-3.5224,3.5224,,
rg,prop,4,300,42,17.3043,18.0772,-0.7729,0.7729,,
rg,prop,4,400,42,19.5766,20.9167,-1.34,1.34,,
rg,prop,4,300,43,16.9152,17.6933,-0.7781,0.7781,,
rg,prop,4,400,43,20.3892,23.214,-2.8248,2.8248,,
rg,prop,4,300,44,16.3937,18.3988,-2.0052,2.0052,,
rg,prop,4,400,44,18.2626,19.4547,-1.192,1.192,,
rg,prop,4,300,45,15.7406,17.2945,-1.5539,1.5539,,
rg,prop,4,400,45,18.2276,19.2236,-0.996,0.996,,
rg,prop,4,300,46,16.8275,17.8954,-1.0679,1.0679,,
rg,prop,4,400,46,18.6018,19.8464,-1.2446,1.2446,,
rg,prop,4,300,47,16.4862,17.2912,-0.805,0.805,,
rg,prop,4,400,47,19.3828,20.7289,-1.3461,1.3461,,
rg,prop,8,300,42,16.385,18.0772,-1.6922,1.6922,,
rg,prop,8,400,42,18.3435,20.9167,-2.5731,2.5731,,
rg,prop,8,300,43,15.8316,17.6933,-1.8617,1.8617,,
rg,prop,8,400,43,18.3001,23.214,-4.9139,4.9139,,
rg,prop,8,300,44,15.1476,18.3988,-3.2512,3.2512,,
rg,prop,8,400,44,17.2533,19.4547,-2.2014,2.2014,,
rg,prop,8,300,45,14.8648,17.2945,-2.4297,2.4297,,
rg,prop,8,400,45,16.8222,19.2236,-2.4013,2.4013,,
rg,prop,8,300,46,15.6776,17.8954,-2.2178,2.2178,,
rg,prop,8,400,46,17.7932,19.8464,-2.0532,2.0532,,
rg,prop,8,300,47,15.5947,17.2912,-1.6966,1.6966,,
rg,prop,8,400,47,18.3036,20.7289,-2.4253,2.4253,,
