protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s54_n300,300,0.79189,1097.42,842,-13.986241890878802,5.05084934234619,0.06599553739981023,0.0,3.5428311556214465,1805.7455683396215,2,2.684974099414068,34.117221297409756,-56.041819774923916,18.216716766357422
s54_n400,400,0.78920225,971.203,1211,-24.754718104879018,4.844353294372558,0.3274786315963507,0.11,3.844554958440427,1410.8354838680148,1,4.018921173591112,49.07906666520887,-83.12309723575306,21.55624008178711
s54_n500,500,0.7884125999999999,1552.34,377,-3.515450589643933,4.0500284194946286,0.4741604756162243,0.372,2.728176802865337,2313.8839471411975,6,7.056420590217664,0.7785725466985061,-3.4000891923740513,22.08616828918457
s55_n300,300,0.7945310000000001,522.388,1586,-11.7219057872327,5.191810035705565,0.4031806120472608,0.19,3.7162135970035886,2352.2964568100747,4,8.206236967319217,29.354473496229534,-44.3993378047615,18.14419174194336
s55_n400,400,0.7932702500000001,922.23,1083,-12.8908693010982,5.232108879089354,0.23080718772237035,0.015,3.9912281769662443,3607.1081779238903,9,11.771999790005605,42.92913595641372,-56.3682798902953,21.209068298339844
s55_n500,500,0.8115874000000001,1225.45,2239,-29.985453001708628,4.800075721740723,0.31853772235903804,0.172,3.6868323775939027,1993.5292980458858,5,5.084272498930476,55.74993865301532,-87.7517959780355,21.785930633544922
s56_n300,300,0.8282643333333334,568.76,454,-24.087377862099387,4.895167350769043,0.17942318205764848,0.0,3.2554502825828036,1230.9877916411876,3,0.9893465192901383,40.675408333081826,-81.7426122236549,19.091880798339844
s56_n400,400,0.7721157500000001,462.262,1177,-16.360852846369475,4.615178489685058,0.26222137899709386,0.0425,3.3604451415562147,2039.26155020396,4,8.44472890653536,28.568606037594403,-28.434733681055445,23.75966453552246
s56_n500,500,0.7990636,1029.57,214,-50.10295036900834,4.436704063415529,0.37800708173874825,0.148,3.505690651949709,1709.8506261048078,2,3.1293479343899415,53.6371766875185,-131.9835201737034,23.63161277770996
s57_n300,300,0.8095736666666667,606.884,345,5.989102876368555,8.761140632629395,0.13872670862067882,0.0,3.4900454911232197,623.3230506960732,0,1.143047601369361,62.98497309739302,-34.16034197807699,18.084949493408203
s57_n400,400,0.7802209999999999,767.006,1,9.529741909525768,9.789733695983884,0.42332376261395815,0.2325,3.8025687099982783,2040.7876105063915,8,6.20267007733423,48.34418031761769,-19.42006293511191,19.129365921020508
s57_n500,500,0.7979267999999999,1317.24,304,53.51519827738327,9.966248130798338,0.21926584697745363,0.0,2.998304478321887,1565.9271487382393,1,1.8966748949258012,126.34039947704906,-19.79093746332739,21.91973304748535
