r2_mean,r2_std,mae_mean,mae_std,n_train,n_test,probe_type,property,t,t_convention,input_variant
0.6668664693832398,0.03391271223586238,0.43429399728775026,0.02159997842287352,9459,2364,mlp,tango,0.8,"code (0=noise, 1=clean)",latent_only
0.611252760887146,0.03637464819966541,0.4729164481163025,0.017527426855757908,9459,2364,knn,tango,0.8,"code (0=noise, 1=clean)",latent_only
0.6929032560473208,0.035497189218285784,0.41661069760446356,0.021183162952882282,9459,2364,linear,tango,0.8,"code (0=noise, 1=clean)",latent_plus_backbone
0.60972740650177,0.03203254298022744,0.47051467299461364,0.022069780848331774,9459,2364,mlp,tango,0.8,"code (0=noise, 1=clean)",latent_plus_backbone
0.5507583379745483,0.039770553608274535,0.5077458500862122,0.01880188694184062,9459,2364,knn,tango,0.8,"code (0=noise, 1=clean)",latent_plus_backbone
0.7243185674297223,0.033977863474189164,0.39345318449907685,0.023825655426181303,1182,295,linear,tango,1.0,"code (0=noise, 1=clean)",latent_only
0.7000155210494995,0.039230287375035186,0.4109589338302612,0.02844323314751047,1182,295,mlp,tango,1.0,"code (0=noise, 1=clean)",latent_only
0.6607026815414428,0.024890594707827937,0.44099096655845643,0.015330997393803803,1182,295,knn,tango,1.0,"code (0=noise, 1=clean)",latent_only
0.7233606072954977,0.034508108995977435,0.39461305905764477,0.02356902455636853,1182,295,linear,tango,1.0,"code (0=noise, 1=clean)",latent_plus_backbone
0.6866988897323608,0.033729260722261505,0.4194147944450378,0.020092126955144944,1182,295,mlp,tango,1.0,"code (0=noise, 1=clean)",latent_plus_backbone
0.6349166393280029,0.030296903023146964,0.4594930946826935,0.019004965555156614,1182,295,knn,tango,1.0,"code (0=noise, 1=clean)",latent_plus_backbone
0.18092531632658235,0.0266676265372697,0.6915294845032693,0.026893485766458523,9459,2364,linear,canya,0.3,"code (0=noise, 1=clean)",latent_only
0.17512227296829225,0.02824435695894162,0.6938658595085144,0.026994886233998826,9459,2364,mlp,canya,0.3,"code (0=noise, 1=clean)",latent_only
0.09477741718292236,0.02113334908726989,0.7246965408325196,0.030903954306560365,9459,2364,knn,canya,0.3,"code (0=noise, 1=clean)",latent_only
0.17959900377523944,0.026164962229590947,0.691994829413553,0.026722273704524714,9459,2364,linear,canya,0.3,"code (0=noise, 1=clean)",latent_plus_backbone
0.16604347229003907,0.025527858744457278,0.697335147857666,0.026492851766798865,9459,2364,mlp,canya,0.3,"code (0=noise, 1=clean)",latent_plus_backbone
0.08885233402252198,0.01721602591243153,0.7293486714363098,0.031939946923720555,9459,2364,knn,canya,0.3,"code (0=noise, 1=clean)",latent_plus_backbone
0.4593416868453234,0.03690396114252071,0.559154772359483,0.012341767526765045,9459,2364,linear,canya,0.5,"code (0=noise, 1=clean)",latent_only
0.45344520807266236,0.03841313782856576,0.5621609807014465,0.011973407149832378,9459,2364,mlp,canya,0.5,"code (0=noise, 1=clean)",latent_only
0.38167438507080076,0.033981080177848254,0.5992327570915222,0.014182370485393286,9459,2364,knn,canya,0.5,"code (0=noise, 1=clean)",latent_only
