arm,L,sample_idx,ca_esmfold,bb3o_esmfold,wall_s
hybrid,50,16,1.1470792293548584,1.1470792293548584,12.0001540184021
hybrid,50,17,0.5858596563339233,0.5858596563339233,11.095778703689575
hybrid,50,18,0.71457439661026,0.71457439661026,11.060678482055664
hybrid,50,19,0.8763318061828613,0.8763318061828613,9.992545366287231
hybrid,50,20,1.5923587083816528,1.5923587083816528,10.752068758010864
hybrid,50,21,9.919098854064941,9.919098854064941,10.507774591445923
hybrid,50,22,0.9736618399620056,0.9736618399620056,11.857746124267578
hybrid,50,23,0.40160149335861206,0.40160149335861206,10.080751419067383
hybrid,50,24,0.9159951210021973,0.9159951210021973,11.707888126373291
hybrid,50,25,0.6745038628578186,0.6745038628578186,10.932844400405884
hybrid,50,26,0.7307740449905396,0.7307740449905396,11.809035062789917
hybrid,50,27,0.6355509757995605,0.6355509757995605,12.88214921951294
hybrid,50,28,7.837080478668213,7.837080478668213,11.482895851135254
hybrid,50,29,1.5449981689453125,1.5449981689453125,11.903661966323853
hybrid,50,30,3.1678366661071777,3.1678366661071777,11.451036930084229
hybrid,50,31,1.5810706615447998,1.5810706615447998,11.47547960281372
hybrid,50,32,0.7934309840202332,0.7934309840202332,11.452926874160767
hybrid,50,33,0.8399186730384827,0.8399186730384827,14.713618755340576
hybrid,50,34,0.5278851985931396,0.5278851985931396,11.949579238891602
hybrid,50,35,1.0761834383010864,1.0761834383010864,11.274275302886963
hybrid,100,0,1.1065125465393066,1.1065125465393066,20.45784831047058
hybrid,100,1,0.8371229767799377,0.8371229767799377,20.28719663619995
hybrid,100,2,1.2650516033172607,1.2650516033172607,19.271533727645874
hybrid,100,3,2.1531052589416504,2.1531052589416504,22.578314781188965
hybrid,100,4,2.30023455619812,2.30023455619812,18.857656002044678
hybrid,100,5,1.0911756753921509,1.0911756753921509,18.87488627433777
hybrid,100,6,1.2357977628707886,1.2357977628707886,19.531064748764038
hybrid,100,7,1.787982702255249,1.787982702255249,18.535266876220703
hybrid,100,8,2.7993321418762207,2.7993321418762207,20.119757890701294
hybrid,100,9,1.068313717842102,1.068313717842102,21.022163152694702
hybrid,100,10,0.8063115477561951,0.8063115477561951,19.018450021743774
hybrid,100,11,10.7542724609375,10.7542724609375,20.529918432235718
hybrid,100,12,1.356145977973938,1.356145977973938,19.378132104873657
hybrid,100,13,1.8118176460266113,1.8118176460266113,20.15084195137024
hybrid,100,14,0.9507346153259277,0.9507346153259277,20.017658710479736
hybrid,100,15,0.595766007900238,0.595766007900238,21.298077821731567
hybrid,100,16,5.637828350067139,5.637828350067139,18.626184701919556
hybrid,100,17,1.187401294708252,1.187401294708252,20.56661081314087
hybrid,100,18,1.4805032014846802,1.4805032014846802,22.075469970703125
hybrid,100,19,1.7952165603637695,1.7952165603637695,22.589550256729126
hybrid,100,20,2.115450859069824,2.115450859069824,23.19493794441223
hybrid,100,21,1.870563268661499,1.870563268661499,21.27410578727722
hybrid,100,22,1.2360033988952637,1.2360033988952637,23.4132342338562
hybrid,100,23,1.4305704832077026,1.4305704832077026,20.591424465179443
hybrid,100,24,0.8774327635765076,0.8774327635765076,22.27029800415039
hybrid,100,25,2.399674415588379,2.399674415588379,22.770389080047607
hybrid,100,26,1.0729953050613403,1.0729953050613403,22.228403329849243
hybrid,100,27,1.228163242340088,1.228163242340088,22.63797950744629
hybrid,100,28,1.1909340620040894,1.1909340620040894,21.7274649143219
hybrid,100,29,1.0130817890167236,1.0130817890167236,20.789332389831543
hybrid,100,30,1.3378041982650757,1.3378041982650757,20.409651279449463
hybrid,100,31,1.0647141933441162,1.0647141933441162,20.846039295196533
hybrid,100,32,3.7228572368621826,3.7228572368621826,20.33620572090149
hybrid,100,33,0.9666147232055664,0.9666147232055664,22.225450038909912
hybrid,100,34,1.7222758531570435,1.7222758531570435,18.9651460647583
