protein_id,seed,length,pdb,pt
s1075_n427,1075,427,samples/s1075_n427.pdb,samples/s1075_n427.pt
s1076_n532,1076,532,samples/s1076_n532.pdb,samples/s1076_n532.pt
s1077_n330,1077,330,samples/s1077_n330.pdb,samples/s1077_n330.pt
s1078_n307,1078,307,samples/s1078_n307.pdb,samples/s1078_n307.pt
s1079_n532,1079,532,samples/s1079_n532.pdb,samples/s1079_n532.pt
s1080_n364,1080,364,samples/s1080_n364.pdb,samples/s1080_n364.pt
s1081_n448,1081,448,samples/s1081_n448.pdb,samples/s1081_n448.pt
s1082_n540,1082,540,samples/s1082_n540.pdb,samples/s1082_n540.pt
s1083_n517,1083,517,samples/s1083_n517.pdb,samples/s1083_n517.pt
s1084_n364,1084,364,samples/s1084_n364.pdb,samples/s1084_n364.pt
s1085_n456,1085,456,samples/s1085_n456.pdb,samples/s1085_n456.pt
s1086_n330,1086,330,samples/s1086_n330.pdb,samples/s1086_n330.pt
s1087_n448,1087,448,samples/s1087_n448.pdb,samples/s1087_n448.pt
s1088_n365,1088,365,samples/s1088_n365.pdb,samples/s1088_n365.pt
s1089_n332,1089,332,samples/s1089_n332.pdb,samples/s1089_n332.pt
s1090_n418,1090,418,samples/s1090_n418.pdb,samples/s1090_n418.pt
s1091_n328,1091,328,samples/s1091_n328.pdb,samples/s1091_n328.pt
s1092_n306,1092,306,samples/s1092_n306.pdb,samples/s1092_n306.pt
s1093_n627,1093,627,samples/s1093_n627.pdb,samples/s1093_n627.pt
s1094_n335,1094,335,samples/s1094_n335.pdb,samples/s1094_n335.pt
s1095_n383,1095,383,samples/s1095_n383.pdb,samples/s1095_n383.pt
s1096_n339,1096,339,samples/s1096_n339.pdb,samples/s1096_n339.pt
s1097_n460,1097,460,samples/s1097_n460.pdb,samples/s1097_n460.pt
s1098_n409,1098,409,samples/s1098_n409.pdb,samples/s1098_n409.pt
s1099_n385,1099,385,samples/s1099_n385.pdb,samples/s1099_n385.pt
