direction,w,length,seed,protein_id,predictor,real,gap
tango_min,4,500,47,s47_n500,1399.19677734375,1145.33,253.86677734375007
tango_min,4,300,48,s48_n300,712.004150390625,500.563,211.441150390625
tango_min,4,400,48,s48_n400,1051.176513671875,1041.29,9.886513671875036
tango_min,4,500,48,s48_n500,1292.73828125,1468.08,-175.34171874999993
tango_min,4,300,49,s49_n300,905.9512329101562,894.748,11.203232910156203
tango_min,4,400,49,s49_n400,705.6673583984375,643.448,62.21935839843752
tango_min,4,500,49,s49_n500,1161.985107421875,1000.18,161.80510742187505
tango_min,4,300,50,s50_n300,662.68701171875,585.598,77.08901171875004
tango_min,4,400,50,s50_n400,924.2942504882812,840.313,83.98125048828126
tango_min,4,500,50,s50_n500,871.0308837890625,949.704,-78.67311621093745
tango_min,4,300,51,s51_n300,640.7757568359375,500.204,140.5717568359375
tango_min,4,400,51,s51_n400,1077.662353515625,890.11,187.552353515625
tango_min,4,500,51,s51_n500,1519.6990966796875,1602.26,-82.56090332031249
tango_min,4,300,52,s52_n300,655.02734375,550.479,104.54834374999996
tango_min,4,400,52,s52_n400,1050.2557373046875,937.527,112.72873730468746
tango_min,4,500,52,s52_n500,1442.7940673828125,873.233,569.5610673828126
tango_min,4,300,53,s53_n300,748.7688598632812,473.759,275.00985986328124
tango_min,4,400,53,s53_n400,1029.225341796875,815.751,213.47434179687502
tango_min,4,500,53,s53_n500,1479.244873046875,1240.88,238.3648730468749
tango_min,4,300,54,s54_n300,1026.5977783203125,1077.12,-50.52222167968739
tango_min,4,400,54,s54_n400,821.5222778320312,906.769,-85.24672216796876
tango_min,4,500,54,s54_n500,1592.55908203125,1650.98,-58.42091796875002
tango_min,4,300,55,s55_n300,613.0347290039062,517.938,95.09672900390626
tango_min,4,400,55,s55_n400,998.2456665039062,887.094,111.1516665039062
tango_min,4,500,55,s55_n500,1293.5430908203125,1168.65,124.89309082031241
tango_min,4,300,56,s56_n300,837.95654296875,603.904,234.05254296875
tango_min,4,400,56,s56_n400,691.8546752929688,487.903,203.95167529296873
tango_min,4,500,56,s56_n500,936.5857543945312,945.832,-9.246245605468744
tango_min,4,300,57,s57_n300,764.3594970703125,571.422,192.93749707031247
tango_min,4,400,57,s57_n400,664.7440185546875,764.149,-99.4049814453125
tango_min,4,500,57,s57_n500,1195.3648681640625,1344.65,-149.2851318359376
tango_min,8,300,42,s42_n300,557.654296875,590.408,-32.753703125000015
tango_min,8,400,42,s42_n400,1030.43994140625,1044.48,-14.040058593750018
tango_min,8,500,42,s42_n500,1084.12744140625,1015.57,68.55744140624995
tango_min,8,300,43,s43_n300,680.393310546875,596.241,84.15231054687501
tango_min,8,400,43,s43_n400,1151.285400390625,1031.48,119.80540039062498
