protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s52_n300,300,0.7877723333333334,618.683,1389,-4.989647540159012,5.716149711608887,0.274960598129321,0.02,3.6912442044573144,2363.363694099435,6,7.916413347309997,42.168517359234166,-35.923226873994125,17.59111976623535
s52_n400,400,0.8049472499999999,998.407,1220,-19.95488621277994,4.957462882995604,0.26062289889109197,0.0125,3.926476028486859,2445.3309213153834,5,6.405571855707983,48.63300805686322,-73.90656088590302,20.673049926757812
s52_n500,500,0.7892794,876.14,0,-10.738792473521698,5.223696708679198,0.16658453990787944,0.092,3.4579879557897057,1360.2380267820527,1,1.805478891548461,72.70937753913634,-65.62456698056963,23.26250648498535
s53_n300,300,0.8034893333333334,489.541,853,-25.87395768455737,4.470011711120605,0.552691369731517,0.6666666666666666,3.490477671877997,1359.908769204039,4,4.281846702792248,24.945308534717135,-61.39202609120891,17.133081436157227
s53_n400,400,0.8126245,816.68,2244,6.614582471217304,8.754435920715334,0.0860293761579381,0.0,3.2071855146258996,1225.4605344356473,1,1.9744644309688977,82.01317162726038,-56.390289701251575,20.535837173461914
s53_n500,500,0.7942798,1241.23,1081,5.510832569213964,9.494855308532717,0.4731219381939629,0.336,3.1813285030998704,1310.181682610823,2,4.073368255831086,23.76645240827429,-7.667400873611145,24.516305923461914
s54_n300,300,0.7932973333333334,1133.03,1140,-4.084323189792258,5.84545841217041,0.06731576168751117,0.0,3.419268923987334,1555.648077035694,2,2.5792878348966966,44.24431704446579,-48.517803952841774,18.21556282043457
s54_n400,400,0.78650825,941.376,1171,-8.597934862230346,5.701883125305176,0.27248703691774323,0.095,3.8384382119091054,1279.908098046047,1,3.9814278827175933,62.899963243495264,-69.41355313752828,21.546180725097656
s54_n500,500,0.7906401999999999,1620.91,228,-1.5193818125569878,4.207074546813964,0.503195872233257,0.484,2.649861861466041,2192.262711895808,5,5.978643236558927,0.7938925220381139,-2.346041164693351,22.091773986816406
s55_n300,300,0.790194,525.387,1692,-2.828773209099758,6.188936424255371,0.3795776420979701,0.17333333333333334,3.720760944007457,2382.58846012553,4,8.679755911792416,32.88196955049514,-32.78577461369851,18.140214920043945
s55_n400,400,0.7917789999999999,908.595,1103,-0.9132688988787834,6.657289695739748,0.20805703128678718,0.0,3.972229763863239,3690.758050992249,8,11.764225002556977,52.743639647724606,-44.71391490505413,21.210004806518555
s55_n500,500,0.8063182,1228.29,2062,-11.125301711589657,5.309637260437011,0.2750730266629949,0.084,3.691338202026584,2247.650800798457,7,6.624918771829813,71.148763783636,-65.56316765350506,21.77481460571289
s56_n300,300,0.8198536666666666,642.135,577,2.6865640020559596,8.408498573303227,0.12349979754875873,0.0,3.2571493779642426,1601.812203965808,4,2.7521735572068895,55.36145734831153,-48.41483160917149,19.090927124023438
s56_n400,400,0.7683085,477.501,1149,-9.376455978080848,4.912219047546387,0.2323930300679067,0.0025,3.31551930151928,2204.454083840894,5,9.230436556009687,29.784360335000844,-21.078690371237087,23.75678825378418
s56_n500,500,0.8007604000000001,972.413,155,-8.16878790207069,5.489760017395019,0.39214140660588576,0.18,3.48841793974265,1348.1543937056717,1,2.910197054085119,89.68509826074943,-92.69949783204007,23.617822647094727
s57_n300,300,0.8090203333333335,617.87,347,-1.999458734814823,6.352860069274903,0.12982022854619876,0.0,3.481888933314183,834.2158244127833,0,1.5317592565351752,52.89392858939374,-41.12545083173335,18.076866149902344
s57_n400,400,0.78162775,763.218,1,7.531563370399979,9.601872825622557,0.43467790244670484,0.24,3.802931518935983,1966.5776590158177,8,6.072605971933961,45.35506516915124,-20.823223855614444,19.129318237304688
s57_n500,500,0.7954110000000001,1363.5,705,17.482169713592697,9.301256752014158,0.1824222613522123,0.0,3.0114578063560984,1796.245767709306,2,2.3928956963245347,86.40743855531798,-38.030219141130296,21.916229248046875
